"행정구역(시군구)별","연령별","항목","단위","2022.02 월",
"서울특별시","30세","총인구수[명]","명","165934",
"서울특별시","30세","남자인구수[명]","명","82355",
"서울특별시","30세","여자인구수[명]","명","83579",
"서울특별시","31세","총인구수[명]","명","148983",
"서울특별시","31세","남자인구수[명]","명","74441",
"서울특별시","31세","여자인구수[명]","명","74542",
"서울특별시","32세","총인구수[명]","명","144855",
"서울특별시","32세","남자인구수[명]","명","72904",
"서울특별시","32세","여자인구수[명]","명","71951",
"서울특별시","33세","총인구수[명]","명","141838",
"서울특별시","33세","남자인구수[명]","명","70923",
"서울특별시","33세","여자인구수[명]","명","70915",
"서울특별시","34세","총인구수[명]","명","135350",
"서울특별시","34세","남자인구수[명]","명","67449",
"서울특별시","34세","여자인구수[명]","명","67901",
"서울특별시","35세","총인구수[명]","명","133480",
"서울특별시","35세","남자인구수[명]","명","66360",
"서울특별시","35세","여자인구수[명]","명","67120",
"서울특별시","36세","총인구수[명]","명","134086",
"서울특별시","36세","남자인구수[명]","명","67143",
"서울특별시","36세","여자인구수[명]","명","66943",
"서울특별시","37세","총인구수[명]","명","131547",
"서울특별시","37세","남자인구수[명]","명","65693",
"서울특별시","37세","여자인구수[명]","명","65854",
"서울특별시","38세","총인구수[명]","명","145031",
"서울특별시","38세","남자인구수[명]","명","72980",
"서울특별시","38세","여자인구수[명]","명","72051",
"서울특별시","39세","총인구수[명]","명","152396",
"서울특별시","39세","남자인구수[명]","명","75801",
"서울특별시","39세","여자인구수[명]","명","76595",
"서울특별시","40세","총인구수[명]","명","156073",
"서울특별시","40세","남자인구수[명]","명","78135",
"서울특별시","40세","여자인구수[명]","명","77938",
"서울특별시","41세","총인구수[명]","명","152617",
"서울특별시","41세","남자인구수[명]","명","76063",
"서울특별시","41세","여자인구수[명]","명","76554",
"서울특별시","42세","총인구수[명]","명","152342",
"서울특별시","42세","남자인구수[명]","명","75312",
"서울특별시","42세","여자인구수[명]","명","77030",
"서울특별시","43세","총인구수[명]","명","134093",
"서울특별시","43세","남자인구수[명]","명","66347",
"서울특별시","43세","여자인구수[명]","명","67746",
"서울특별시","44세","총인구수[명]","명","138160",
"서울특별시","44세","남자인구수[명]","명","67694",
"서울특별시","44세","여자인구수[명]","명","70466",
"서울특별시","45세","총인구수[명]","명","137563",
"서울특별시","45세","남자인구수[명]","명","68288",
"서울특별시","45세","여자인구수[명]","명","69275",
"서울특별시","46세","총인구수[명]","명","139634",
"서울특별시","46세","남자인구수[명]","명","68870",
"서울특별시","46세","여자인구수[명]","명","70764",
"서울특별시","47세","총인구수[명]","명","151002",
"서울특별시","47세","남자인구수[명]","명","75008",
"서울특별시","47세","여자인구수[명]","명","75994",
"서울특별시","48세","총인구수[명]","명","158059",
"서울특별시","48세","남자인구수[명]","명","77273",
"서울특별시","48세","여자인구수[명]","명","80786",
"서울특별시","49세","총인구수[명]","명","160963",
